ticker,price,change_pct,volume,avg_volume,market_cap,float
AACG,0.92,5.7471,1391.0,231353.0,39751592.0,5976213.0
ABTC,8.03,-1.23,928140.0,1636686.0,978212224.0,23343815.0
ABTS,1.4233,6.2164,22127.0,143869.0,4575119.0,2959048.0
ACH,1.08,0.9346,1088761.0,1166243.0,83057080.0,56518805.0
ACTU,1.15,-8.7302,204420.0,382437.0,27616332.0,
ACXP,1.4,-1.4084,58584.0,123829.0,6016833.0,
ADBT,0.309,-1.5924,5666616.0,19966945.0,,50625609.0
ADCT,1.11,-9.0164,957188.0,1460974.0,141711152.0,
ADGM,0.58,-4.1322,99819.0,8303575.0,12882066.0,8408880.0
AEMD,1.56,-7.6923,155004.0,1073401.0,1109372.0,706407.0
AEON,0.29,25.5411,200751057.0,2659450.0,14466009.0,
AERT,6.78,1.0432,8781.0,36351.0,36564780.0,
AGRZ,0.2372,-5.3849,3312776.0,7116340.0,5140950.0,
AHMA,1.77,42.7419,26872354.0,1798748.0,52613248.0,2144956.0
AIB,1.37,0.0,524108.0,1154290.0,,
AIDX,0.5404,-5.0931,28715.0,638179.0,6901072.0,
AIFU,12.405,-19.7087,17929.0,26200.0,73508384.0,
AIIO,1.79,-3.7634,429869.0,1545287.0,213073680.0,50138705.0
AIM,0.2269,-2.7015,10330567.0,5158203.0,8056760.0,27686821.0
AIRE,1.49,-0.6667,34725.0,119214.0,8946225.0,4452454.0
AIXC,0.7402,4.8739,200509.0,1301083.0,15624796.0,18558726.0
ALAR,1.78,14.1026,1012734.0,225177.0,13080910.0,
ALEC,2.14,-5.7269,3780786.0,1038753.0,238945824.0,94313250.0
ALIT,12.05,-3.9841,444703.0,897326.0,446598272.0,
ALP,3.71,-31.4752,592970.0,115235.0,5749932.0,
ALPS,0.3849,-0.026,3666.0,125962.0,64047484.0,3000000.0
ALXO,1.9,3.2609,1061214.0,1270793.0,262726288.0,94732188.0
AMBR,1.01,2.1027,94810.0,401979.0,95218000.0,20719326.0
AMDD,28.0565,3.2628,448720.0,1106804.0,,
AMOD,2.09,7.1795,45752.0,121836.0,10380649.0,
AMSS,0.7207,-1.6109,29789.0,245843.0,8363782.0,
AMZE,0.1689,-1.9733,2633077.0,4309070.0,1241119.0,
ANVS,1.19,-2.459,1332253.0,876661.0,50701324.0,35319648.0
APRE,0.7892,-0.278,57762.0,234979.0,9936925.0,7910129.0
APVO,1.83,-0.2072,56384.0,103919.0,3312693.0,1696320.0
AQB,1.06,0.0,55794.0,504669.0,5456036.0,5120387.0
ARAI,0.2301,-5.7354,287050.0,578191.0,11936716.0,
ARAY,0.243,-2.8389,620256.0,1323654.0,29023750.0,
ARBE,0.7588,-4.4212,2960735.0,3213530.0,96674208.0,101467044.0
AREB,0.15,-4.7014,88781.0,1132562.0,4273477.0,
AREN,1.12,19.1489,16481235.0,438291.0,53323932.0,13144349.0
ASPSZ,0.197,8.8999,6137.0,,,
ATCH,0.182,1.5625,679154.0,1925604.0,27361474.0,148538231.0
ATER,0.857,20.7042,5045461.0,1821743.0,15397642.0,13768639.0
AUID,0.3588,-5.5789,297555.0,527414.0,5999257.0,
AURE,1.4,-2.439,3234.0,49761.0,52640000.0,
AUTL,1.96,-3.4483,1327838.0,1960751.0,521678592.0,33904120.0
AUUD,0.9798,-0.0204,63118.0,3096914.0,5685828.0,
AVX,3.745,-2.2193,78702.0,39600.0,27703198.0,
AZI,1.22,-1.6129,30789.0,5099208.0,80947080.0,4397327.0
AZIO,1.18,0.0,69691.0,664958.0,19432060.0,13675066.0
BAER,1.04,-4.5872,445408.0,932883.0,61179184.0,44437854.0
BANL,6.05,7.6513,47698.0,117627.0,12773946.0,406582.0
BAOS,0.3061,-8.7902,659383.0,5097982.0,469706.0,1034490.0
BATL,1.37,0.7353,14892619.0,11657016.0,78476552.0,
BBLG,0.561,1.6488,17303.0,340064.0,1546148.0,2755396.0
BCAB,1.18,-4.065,534.0,77059.0,1965997.0,1376165.0
BCLI,1.02,3.0303,3062.0,28482.0,11255470.0,10095936.0
BCTXZ,0.125,-10.6505,21495.0,,,
BDRX,0.6601,-18.7269,187632.0,486788.0,679286.0,594400.0
BDTX,1.96,-6.6667,676102.0,1142393.0,112311480.0,
BEAT,0.4104,-2.1226,245658.0,674519.0,23125700.0,
BEEM,1.38,-0.7194,355831.0,2100056.0,30638188.0,22098037.0
BGICF,0.2787,21.0161,6453.0,327185.0,5491860.0,2918351.0
BGIN,1.89,-4.4634,2562.0,38172.0,213826928.0,43350299.0
BGL,0.2159,1.3615,246813.0,776317.0,9348842.0,
BGM,0.2756,0.9154,136565.0,300788.0,110411792.0,
BIOX,0.4225,-0.9146,66707.0,275204.0,26962216.0,44923321.0
BIVI,1.91,-3.0457,261567.0,4698590.0,16141692.0,7477922.0
BJDX,1.01,0.0,303495.0,5689016.0,1045062.0,
BMEA,1.7,-7.8591,2474482.0,1176153.0,122909048.0,
BMRA,2.23,-1.5453,14617.0,69095.0,10233399.0,3972715.0
BNBX,0.15,0.0,1320.0,183474.0,929583.0,
BNCWZ,0.1345,19.0265,3854.0,,,36452898.0
BQ,0.8339,-0.0839,211808.0,2303175.0,6153860.0,
BRAG,1.31,-2.2388,21482.0,32474.0,40693056.0,
BRIA,1.5,7.1429,2934.0,63700.0,37500000.0,20279875.0
BRLS,1.43,3.6232,10159.0,842535.0,30692530.0,6468397.0
BRNX,2.85,8.365,2268063.0,1014239.0,4830827.0,23787.0
BRTX,2.76,0.7299,27424.0,23041.0,3811913.0,
BTCS,1.32,-1.4925,1606386.0,1487148.0,65744492.0,41632287.0
BTCT,1.3,-15.5844,1153441.0,10980237.0,22068804.0,9168463.0
BTMD,1.31,-9.6552,298644.0,320579.0,44408004.0,16686629.0
BTOG,2.21,-4.7414,1903633.0,602398.0,1839142.0,
BTTC,0.3667,-5.9502,127029.0,1321953.0,5023314.0,
BYND,10.45,-4.1284,1128592.0,1301822.0,179676928.0,16660937.0
BYSI,0.7668,25.7049,796642.0,688117.0,31530678.0,31950100.0
BZAI,0.5211,5.9793,2376944.0,4854314.0,75471968.0,98685655.0
CABR,1.14,2.2422,18961.0,71433.0,11819777.0,
CALC,2.12,-7.6253,83278.0,275914.0,14475978.0,3790863.0
CAN,0.3087,-2.3719,10082142.0,15420480.0,230644736.0,
CANG,1.8,-7.2165,164156.0,290136.0,73839544.0,20523005.0
CAST,1.3,0.7752,879715.0,13058656.0,61855380.0,21373718.0
CBAT,1.01,-0.9804,638818.0,336800.0,89532296.0,69352956.0
CBUS,1.585,-0.3145,67992.0,273270.0,121139904.0,
CCG,13.2,1.5385,78988.0,83120.0,33071622.0,904385.0
CCHH,1.21,0.0,15738.0,728554.0,22800912.0,1637009.0
CCO,2.38,0.0,1875925.0,8226640.0,1211643392.0,385297495.0
CCTG,0.5966,-5.2866,38402.0,3097777.0,8101939.0,3008949.0
CDIO,1.98,-4.3478,21803.0,59419.0,5859748.0,2837687.0
CDLX,4.13,-3.2787,55153.0,51983.0,24320398.0,
CDT,0.3448,-42.5429,41235493.0,765899.0,4721645.0,385437.0
CDTG,1.3,-7.1429,432282.0,4447887.0,3927335.0,2766994.0
CDXS,1.44,0.6993,467303.0,1146916.0,157688320.0,82348335.0
CELU,1.435,-0.3472,153541.0,4015674.0,41537452.0,
CELZ,0.9502,-8.6346,318408.0,9829690.0,6264248.0,6557287.0
CETX,2.4,-5.3254,26655.0,500693.0,4130738.0,
CGTL,4.03,-1.467,83959.0,465898.0,6928598.0,
CHAI,0.2572,0.8627,429624.0,10557288.0,6652953.0,8216706.0
CHGG,0.73,-3.6176,1701145.0,1334311.0,81050064.0,
CHMI,2.9,-0.6849,261952.0,339353.0,108689408.0,36409809.0
CHOW,0.44,-1.566,186332.0,7159737.0,15615600.0,11033841.0
CHR,1.67,-5.1136,19371.0,107796.0,3081906.0,
CHSN,1.04,-2.8037,10440.0,808203.0,2411850.0,
CIGL,0.4385,3.7133,92151.0,4239184.0,99533128.0,34910365.0
CIRC,0.573,0.6853,297250.0,12603341.0,52958380.0,
CISS,1.45,2.1127,267354.0,1003231.0,397882.0,11792.0
CJMB,2.26,-0.4405,107921.0,2299300.0,13000352.0,2340178.0
CLDI,1.31,-3.6765,27879.0,285893.0,3385281.0,2564822.0
CMMB,2.6,-3.3457,23781.0,152767.0,19051916.0,
CMND,0.9816,-7.3962,100019.0,784446.0,1458216.0,
CMRC,3.08,18.4615,4380891.0,947061.0,255205696.0,59240864.0
CMTL,1.46,-4.5752,342937.0,623012.0,43743692.0,
CNET,1.3,0.0,171.0,278685.0,4768957.0,3026160.0
CNEY,0.5415,-3.269,204911.0,1942064.0,4442090.0,
CNTB,2.06,2.4876,762991.0,648398.0,129727072.0,
CNTX,0.3664,-0.973,740134.0,2942787.0,33664532.0,
CODX,1.1,-1.7857,85316.0,437224.0,7679451.0,6135776.0
COIA,7.84,-2.8501,89176.0,61782.0,,
COOT,0.4645,-2.5184,63625.0,1850775.0,13966867.0,8124837.0
COSM,0.2532,-0.7059,1232653.0,9950003.0,25480472.0,
CPHI,0.763,-2.0539,102699.0,4531904.0,32825786.0,3300648.0
CPOP,0.2507,-10.0466,523464.0,5224762.0,3118383.0,3406288.0
CRDF,1.21,15.2381,725697.0,1218474.0,94132256.0,
CRDL,1.98,-13.3479,1769381.0,1052630.0,231308896.0,
CREG,0.18,-18.1818,78.0,362804.0,494264.0,2208554.0
CRGO,1.2,0.8403,39250.0,166237.0,62020196.0,35150159.0
CRIS,1.16,-3.3333,146541.0,295872.0,2813090.0,1836613.0
CRNT,2.03,-0.9756,330655.0,558722.0,185299440.0,79493401.0
CSTWF,0.25,0.0,40000.0,,,46545.0
CTNT,1.14,2.7027,1308196.0,1199798.0,3601705.0,2955200.0
CTOR,0.91,-3.1915,47772.0,77579.0,96240680.0,30982094.0
CTXR,0.5853,0.567,164942.0,551166.0,16067990.0,26959796.0
CURV,2.28,-1.7241,277564.0,350095.0,227301552.0,25894431.0
CURX,4.31,2.3753,24146.0,14088.0,6759118.0,
CVKD,1.18,-0.8403,119531.0,435558.0,4209758.0,3142050.0
CXAI,2.95,-2.9605,122814.0,212561.0,6895348.0,2220769.0
CYAB,0.3267,-4.4737,149712.0,4894103.0,5748963.0,
CYPH,2.2,-10.2041,15696515.0,5225427.0,237081648.0,74751841.0
DAMD,14.01,6.9466,1915792.0,39904674.0,,
DARE,0.7051,-1.6048,101968.0,508953.0,13868671.0,12946692.0
DBGI,6.79,81.0667,27387616.0,173748.0,3901798.0,
DCX,0.5482,-3.8751,14100.0,921974.0,192734624.0,
DDC,0.2476,-16.4078,1802633.0,785253.0,14073896.0,33001820.0
DFLI,1.03,-1.9048,238799.0,345825.0,15428167.0,
DFSC,1.44,-4.6358,809096.0,2574593.0,4998695.0,2457221.0
DGNX,1.48,-6.3291,336431.0,2121308.0,43112592.0,26107005.0
DH,1.03,0.0,800101.0,522850.0,109947048.0,
DLXY,0.4177,-3.9328,263323.0,311930.0,6829395.0,
DOGZ,0.9301,-2.0947,6135.0,700775.0,16388974.0,2622221.0
DRMA,1.2,-0.8264,16415.0,752275.0,5946248.0,2897833.0
DSS,0.7761,3.48,124373.0,2062079.0,,4024238.0
DTCX,2.01,-0.495,411562.0,220524.0,80688680.0,31698611.0
DTSS,0.685,3.0075,7302.0,401070.0,7156300.0,6961683.0
DUO,0.5177,-1.3717,77239.0,1213109.0,19956514.0,38529139.0
DVLT,0.2028,-1.5534,25849484.0,32614503.0,173283808.0,679521320.0
EBON,2.16,-0.4746,4376.0,11241.0,13566131.0,
EDBL,1.43,2.1429,48906.0,1562286.0,2790657.0,1950533.0
EHGO,1.07,11.0189,5073129.0,8691167.0,3453507.0,1748910.0
EHTH,0.9217,-0.1517,235879.0,351503.0,29255696.0,
EJH,1.15,-2.5424,5405.0,372517.0,3680177.0,
ELAB,4.6,-0.4329,17711.0,251985.0,3724063.0,
ELME,1.66,0.0,372667.0,1324946.0,147504080.0,
ELOG,0.6116,-9.5266,10679967.0,14095.0,7848051.0,
ENGS,2.9,0.346,3290210.0,1082845.0,129126960.0,
ENLV,0.9807,-5.7019,278488.0,237488.0,17147992.0,
ENSC,0.5159,8.725,926163.0,14789411.0,10037760.0,
ENVB,1.46,0.6897,11468.0,150088.0,6534791.0,4337892.0
EPOW,0.3293,-7.5,317137.0,1806396.0,12753541.0,24064807.0
EPSM,1.37,-2.8369,19068.0,42308.0,18389556.0,2072651.0
ETS,1.39,7.7519,411082.0,208450.0,67716176.0,
EVGN,0.4806,-4.2629,41702.0,1470696.0,7594156.0,
EVTL,0.554,-4.2847,5063166.0,5101509.0,95134904.0,83755198.0
EXFY,2.22,-3.0568,346075.0,1440485.0,202434400.0,
EZGO,0.8847,0.832,25428.0,436266.0,4694129.0,139232.0
FAMI,0.1301,0.0769,14474959.0,22108908.0,4870677.0,
FBGL,0.4088,3.7563,10678.0,434295.0,5518800.0,
FBLG,1.73,-1.7045,83603.0,221033.0,11518674.0,
FCHL,0.963,-6.5049,47978.0,128801.0,1269948.0,
FEAM,1.5,-0.6623,147887.0,526637.0,62272836.0,
FEMY,2.74,-3.1802,35531.0,731488.0,22947574.0,
FFAI,1.71,-5.0,582024.0,853654.0,6592565.0,3788681.0
FJET,2.01,-1.9512,2186380.0,1131287.0,110542000.0,37334597.0
FLUX,0.5715,-3.152,37650.0,405901.0,12356768.0,15586177.0
FMFC,0.2,0.452,200692.0,6688680.0,3660000.0,
FNGR,0.186,4.0268,12144721.0,25920117.0,14166260.0,47345700.0
FOXO,0.1478,-1.4667,334.0,13841.0,245069.0,
FRGT,0.98,1.0309,68990.0,404124.0,560682.0,
FRSX,1.11,0.9091,6495.0,82470.0,4580423.0,
FUSE,0.6039,-0.3136,47818.0,1454282.0,17504224.0,10143696.0
GAUZ,0.3445,-6.6143,91396.0,4804555.0,7919239.0,13151684.0
GCDT,0.5161,-19.1446,3214541.0,7330745.0,6644787.0,3387183.0
GCL,0.573,2.2484,110051.0,496072.0,73348992.0,
GDC,1.33,-6.993,408989.0,1402679.0,5536125.0,4090239.0
GELS,0.7871,-7.3673,342587.0,6002635.0,8430675.0,5150874.0
GENK,1.85,-1.5957,20652.0,190500.0,60984544.0,4783448.0
GGR,2.54,-5.2239,8703.0,43882.0,50986892.0,17846790.0
GIPR,0.414,1.0002,340184.0,8281925.0,1257790.0,
GLE,0.4612,0.0434,23367.0,3076030.0,8439960.0,7819956.0
GLND,1.23,6.9565,585593.0,1168279.0,53788136.0,35252221.0
GMEX,0.5211,-8.755,810288.0,1751689.0,471767.0,
GMHS,0.75,-5.0633,11943.0,179209.0,42989408.0,25982149.0
GNPX,3.35,-2.3324,28743.0,176232.0,2746025.0,
GOAI,2.93,-1.3468,60219.0,322882.0,117182832.0,15435137.0
GORO,3.57,-1.3812,1189185.0,1155156.0,484251296.0,68193250.0
GOSS,0.1424,-10.8328,13041853.0,27547951.0,69611768.0,
GOVX,0.4655,-0.7039,294919.0,677448.0,4233197.0,6818097.0
GPRO,1.4,-1.0601,87908339.0,31010533.0,288898912.0,
GPUS,0.187,-7.1499,28816561.0,25627103.0,26321702.0,135380815.0
GRAN,1.08,6.9307,3622996.0,10746.0,26898752.0,4712263.0
GRI,1.94,7.7778,213455.0,344088.0,4241063.0,2186115.0
GRNQ,11.76,-11.1111,166163.0,31053.0,21318364.0,1069894.0
GRWG,1.57,-2.1807,276530.0,358974.0,92505104.0,50451813.0
GSUN,0.23,-4.4057,1435073.0,10964872.0,2306640.0,9368669.0
GTBP,6.18,3.3445,155732.0,34761.0,11151062.0,
GTEC,1.07,0.0,123693.0,416662.0,28402318.0,20336059.0
GUTS,0.6431,0.4844,657812.0,1675030.0,102368560.0,
GVH,1.0,0.0,50626.0,1131172.0,2415472.0,2296389.0
GWH,0.3769,-0.5278,467840.0,920017.0,15179327.0,
GXAI,0.7435,1.1427,165367.0,2438833.0,10224826.0,10521790.0
GYGY,1.085,1.4019,559289.0,3199013.0,15615321.0,477958.0
HAIN,0.6395,-0.3584,495436.0,1023735.0,57717104.0,
HCAT,1.73,0.0,677083.0,1052003.0,130193544.0,
HCTI,0.7435,-0.8138,70185.0,1031353.0,10888053.0,14974172.0
