ticker,price,change_pct,volume,avg_volume,market_cap,float
AACG,0.8434,-11.2211,9382.0,231245.0,36441840.0,5976213.0
ABTC,8.13,-3.3294,1115918.0,1628660.0,990394304.0,23343815.0
ABTS,1.34,-7.2664,13813.0,146088.0,4307356.0,2959048.0
ACCL,3.1,16.1049,3544640.0,57088.0,43244688.0,
ACH,1.07,-2.7273,795533.0,1162503.0,82288040.0,56518805.0
ACTU,1.26,-8.0292,119749.0,382775.0,30257894.0,
ACXP,1.41,-1.3986,32361.0,124090.0,6059810.0,
ADBT,0.314,-3.3846,6964294.0,21212010.0,,50625609.0
ADCT,1.22,-6.1538,1709283.0,1483511.0,155754592.0,
ADGM,0.605,-0.4115,65340.0,8303166.0,13437329.0,8408880.0
AEMD,1.69,-6.6298,87552.0,1075548.0,1201819.0,706407.0
AEON,0.231,-1.7021,470268.0,2652822.0,11522925.0,
AERT,6.71,-5.226,68432.0,37444.0,36187264.0,
AGRZ,0.2507,10.6843,178397878.0,4235259.0,5433542.0,
AHMA,1.28,9.4017,52067.0,1823198.0,38048000.0,2144956.0
AIB,1.37,-4.1958,565433.0,1155396.0,,
AIDX,0.5646,-2.3014,26512.0,638262.0,7210113.0,
AIFU,15.45,-4.7472,21203.0,25870.0,91552160.0,
AIIO,1.86,-4.6154,538834.0,1562301.0,221406176.0,50138705.0
AIM,0.2332,1.5237,8772152.0,5109743.0,8280461.0,27686821.0
AIRE,1.5,-3.8462,13312.0,120251.0,9006267.0,4452454.0
AIXC,0.7058,2.2306,176152.0,1299395.0,14898650.0,18558726.0
ALAR,1.56,-1.2658,73064.0,224850.0,11464168.0,
ALEC,2.27,-8.0972,505604.0,1037514.0,253461200.0,94313250.0
ALIT,12.55,-6.6914,467116.0,909409.0,465129312.0,
ALP,5.4141,0.5404,150683.0,116374.0,8391027.0,
ALPS,0.385,0.0,52978.0,125162.0,64064120.0,3000000.0
ALXO,1.84,-8.0,770467.0,1269787.0,254429664.0,94732188.0
AMBR,0.9892,1.1762,286450.0,397987.0,93257072.0,20719326.0
AMDD,27.17,-3.0681,402023.0,1143522.0,,
AMOD,1.95,-5.3398,31484.0,121436.0,9685295.0,
AMSS,0.7301,-5.1941,36365.0,271250.0,8472869.0,
AMZE,0.1723,-4.2246,1990007.0,4284279.0,1266103.0,
ANVS,1.22,-6.1538,1741733.0,866596.0,51979508.0,35319648.0
APRE,0.7914,-5.2216,134666.0,234074.0,9964625.0,7910129.0
APVO,1.845,-1.8617,43895.0,103350.0,3339846.0,1696320.0
AQB,1.06,-6.1947,37288.0,504956.0,5456036.0,5120387.0
ARAI,0.2441,0.3288,94838.0,587625.0,12662983.0,
ARAY,0.2501,-4.542,359521.0,1337166.0,29871768.0,
ARBE,0.7939,6.8362,14663234.0,2997337.0,101146088.0,101467044.0
AREB,0.1574,0.2548,139132.0,1130637.0,4484302.0,
AREN,1.12,19.1489,16481235.0,431901.0,53323932.0,13144349.0
ASPSZ,0.172,1.1765,11264.0,,,
ATCH,0.1792,-3.5003,986543.0,1927329.0,26940528.0,148538231.0
ATER,0.71,-2.5395,2266897.0,1786008.0,12756506.0,13768639.0
AUID,0.38,-10.2927,261204.0,524930.0,6353728.0,
AURE,1.435,-3.0405,3121.0,49788.0,53955996.0,
AUTL,2.03,-3.7915,1674958.0,1947503.0,540309952.0,33904120.0
AUUD,0.99,-1.0,60086.0,3102141.0,5745019.0,
AVX,3.83,3.794,140716.0,37517.0,28331976.0,
AZI,1.24,-3.125,95710.0,5539011.0,6364010.0,4397327.0
AZIO,1.18,-4.8387,99624.0,666067.0,19432060.0,13675066.0
BAER,1.09,-0.9091,208092.0,935132.0,64120496.0,44437854.0
BANL,5.62,-13.1376,31939.0,119073.0,11866045.0,406582.0
BAOS,0.3356,3.5483,1184472.0,5082253.0,514973.0,1034490.0
BATL,1.36,3.0303,7572722.0,14731243.0,77903736.0,
BBLG,0.5541,-1.2299,54899.0,339640.0,1527131.0,2755396.0
BCAB,1.23,-2.381,9300.0,77448.0,2049303.0,1376165.0
BCLI,0.99,-5.7143,2630.0,28903.0,10924427.0,10095936.0
BCTXZ,0.1399,-0.1428,52191.0,,,
BDRX,0.8122,-2.2388,100628.0,485450.0,835807.0,594400.0
BDTX,2.1,0.0,402107.0,1160898.0,120333728.0,
BEAT,0.4193,-5.8388,346449.0,678785.0,23627208.0,
BEEM,1.39,-2.1127,240983.0,2107609.0,30860204.0,22098037.0
BGICF,0.2303,4.5867,33.0,330012.0,4538125.0,2918351.0
BGIN,1.9783,-0.5879,1020.0,38285.0,223816832.0,43350299.0
BGL,0.213,4.4118,127175.0,778690.0,9223267.0,
BGM,0.2731,-5.9897,126002.0,396864.0,109410232.0,
BIOX,0.4264,1.0427,74068.0,275064.0,27211096.0,44923321.0
BJDX,1.01,-1.9417,1442192.0,5664843.0,1045062.0,
BMEA,1.845,-4.4041,2502357.0,1147590.0,133392472.0,
BMRA,2.265,-3.2051,21494.0,68903.0,10394013.0,3972715.0
BNBX,0.15,0.0,1010.0,184775.0,929583.0,
BNCWZ,0.11,-21.147,18048.0,,,36452898.0
BQ,0.8346,-4.0028,27059.0,3157816.0,6159025.0,
BRAG,1.34,3.0769,171805.0,29729.0,41624964.0,
BRIA,1.4,-5.4054,22567.0,63717.0,35000000.0,20279875.0
BRLS,1.38,2.9851,19798.0,842237.0,29619364.0,6468397.0
BRNX,2.63,14.3478,995844.0,999589.0,1895935.0,23787.0
BRTX,2.74,-2.2406,48861.0,22691.0,3784290.0,
BTCS,1.34,-4.9645,1665315.0,1478551.0,66740620.0,41632287.0
BTCT,1.54,-8.8757,2018280.0,10951690.0,26143046.0,9168463.0
BTMD,1.45,-3.9735,59408.0,321766.0,49153900.0,16686629.0
BTOG,2.21,-4.7414,1903633.0,595479.0,1839142.0,
BTTC,0.3899,-2.6224,79080.0,1328170.0,5341124.0,
BYND,10.9,-2.7654,970725.0,1308708.0,187414208.0,16660937.0
BYSI,0.6287,1.3705,39689.0,687616.0,25852032.0,31950100.0
BZAI,0.4917,6.8913,2698481.0,4862401.0,71213912.0,98685655.0
CABR,1.12,0.9009,39844.0,71616.0,11612413.0,
CALC,2.295,13.6139,181619.0,273680.0,15670931.0,3790863.0
CAN,0.3162,-2.1658,19177970.0,15231214.0,236248336.0,
CAST,1.29,-1.5267,612870.0,13051962.0,61379572.0,21373718.0
CBAT,1.02,2.0102,448746.0,332535.0,90418752.0,69352956.0
CBUS,1.59,-1.2422,85885.0,276361.0,121522048.0,
CCG,13.0,-7.2091,14665.0,86353.0,32570538.0,904385.0
CCHH,1.205,0.4167,7544.0,773977.0,22706694.0,1637009.0
CCO,2.38,0.0,1399972.0,8290859.0,1211643392.0,385297495.0
CCTG,0.6165,-3.4456,121561.0,3190195.0,8372185.0,3008949.0
CDIO,2.07,6.1484,49693.0,59037.0,6126100.0,2837687.0
CDLX,4.27,14.1711,117884.0,51830.0,25144818.0,
CDT,0.6001,-2.7075,122800.0,763700.0,8217688.0,385437.0
CDTG,1.4,-4.1096,1172605.0,4484401.0,4229437.0,2766994.0
CDXS,1.43,0.0,512985.0,1149825.0,156593248.0,82348335.0
CELU,1.44,-6.4935,147344.0,4014429.0,41682184.0,
CELZ,1.04,-3.7037,108787.0,9828183.0,6856259.0,6557287.0
CETX,2.535,0.1976,17699.0,502169.0,4363092.0,
CGTL,4.06,-3.7915,161022.0,472732.0,6980175.0,
CHAI,0.255,-6.9683,1041092.0,10655700.0,6596045.0,8216706.0
CHGG,0.7574,-4.897,1215294.0,1327320.0,84092208.0,
CHMI,2.92,-1.6835,105112.0,339287.0,109438984.0,36409809.0
CHOW,0.447,-6.2107,139391.0,11255579.0,15864030.0,11033841.0
CHR,1.76,-1.1236,18346.0,136893.0,3247997.0,
CHSN,1.07,0.9434,41705.0,1052179.0,2481423.0,
CIGL,0.4228,5.6736,32058.0,4407468.0,95969456.0,34910365.0
CIRC,0.5691,-5.7469,849225.0,12594643.0,52597932.0,
CISS,1.42,-2.7397,148148.0,1000834.0,389650.0,11792.0
CJMB,2.27,-0.8734,96751.0,2298322.0,13057875.0,2340178.0
CLDI,1.36,0.7407,44606.0,287571.0,3514490.0,2564822.0
CLGN,3.41,-4.7486,90850.0,341528.0,6447700.0,856092.0
CMMB,2.69,-2.1818,76585.0,151698.0,19711406.0,
CMND,1.06,2.9126,310936.0,780020.0,1574684.0,
CMRC,2.6,1.5625,1688594.0,930387.0,215433376.0,59240864.0
CMTL,1.53,-2.5478,257496.0,623235.0,45840992.0,
CNET,1.3,7.438,7836.0,322553.0,4768957.0,3026160.0
CNEY,0.56,2.1898,49252.0,1946019.0,4593852.0,
CNTB,2.01,5.2356,945516.0,635872.0,126578360.0,
CNTX,0.37,-1.6742,641980.0,2940633.0,33995296.0,
CODX,1.12,0.0,118452.0,444540.0,7819077.0,6135776.0
COIA,8.07,-4.8349,78518.0,60587.0,,
COOT,0.4765,-2.9532,63833.0,1850008.0,14327690.0,8124837.0
COSM,0.255,-5.6953,1306984.0,10060848.0,25661612.0,
CPHI,0.779,-7.3722,78410.0,4531514.0,33514138.0,3300648.0
CPOP,0.2787,-3.1619,420239.0,5682199.0,3466666.0,3406288.0
CRDF,1.05,-4.5455,715966.0,1226243.0,81685008.0,
CRDL,2.285,2.9279,1944374.0,1026946.0,266939808.0,
CREG,0.22,22.2222,2269.0,365823.0,604100.0,2208554.0
CRGO,1.19,-6.2992,92319.0,165427.0,61503364.0,35150159.0
CRIS,1.2,-5.5118,186971.0,292958.0,2910093.0,1836613.0
