ticker,price,change_pct,volume,avg_volume,market_cap,float
AACG,0.8426,1.524,1580.0,,,5976213.0
AAOG,2.07,4.5455,3293403.0,,,
ABTC,8.77,7.7396,1877295.0,,,23343815.0
ABTS,1.48,6.4748,1234610.0,,,2959048.0
ACH,1.03,-3.7383,688128.0,,,56518805.0
ACTU,0.97,-2.7471,174545.0,,,
ACXP,1.39,0.7246,70053.0,,,5141335.0
ADBT,0.1527,28.2116,319764673.0,,,50625609.0
ADCT,1.0796,2.819,1545528.0,,,
ADGM,0.52,4.2084,80090.0,,,8408880.0
AEI,0.971,1.1458,16566.0,,,3698993.0
AEMD,6.6,361.5385,92326227.0,,,706407.0
AEON,0.2448,-4.7471,1452258.0,,,
AERT,6.91,2.0679,10095.0,,,
AGMH,0.77,22.1253,4387244.0,,,3454390.0
AGRZ,0.236,2.5641,302996.0,,,
AHMA,1.28,0.7874,32728.0,,,2144956.0
AIB,1.4342,0.2937,748669.0,,,
AIDX,0.4715,-1.9343,26686.0,,,
AIFU,10.79,0.3721,51273.0,,,
AIIO,1.54,0.0,293248.0,,,50138705.0
AIM,0.2135,0.7075,2147705.0,,,27686821.0
AIMD,1.4879,7.8188,30207.0,,,2898987.0
AIRE,1.37,-2.8369,68329.0,,,4452454.0
AIXC,1.05,9.3522,206876.0,,,18558726.0
ALAR,2.12,-0.9346,74648.0,,,
ALEC,1.85,-3.8961,931233.0,,,94313250.0
ALIT,12.29,3.2773,382084.0,,,
ALLR,1.1461,-0.7706,160100.0,,,15793670.0
ALP,4.54,10.7317,53750.0,,,20919358.0
ALPS,0.3999,-0.025,18023.0,,,3000000.0
ALXO,1.74,-1.1364,526479.0,,,94732188.0
AMBR,1.46,10.6061,335763.0,,,20719326.0
AMDD,25.74,-6.4809,744525.0,,,
AMOD,2.0,8.6957,79582.0,,,
AMSS,0.6751,2.943,17809.0,,,
AMZE,0.1401,7.192,16997245.0,,,20505351.0
ANVS,1.13,8.6538,1521833.0,,,35319648.0
APRE,0.74,1.3005,114807.0,,,7910129.0
APVO,1.84,6.9767,423829.0,,,1696320.0
AQB,1.13,1.8018,19312.0,,,5120387.0
ARAI,0.2439,7.0676,389569.0,,,
ARAY,0.2305,-1.073,498950.0,,,
ARBE,0.6883,3.2708,998154.0,,,101467044.0
ASPSZ,0.16,0.0,4197.0,,,
ATCH,0.1798,12.375,17536613.0,,,148538231.0
ATER,0.6895,0.2472,192027.0,,,13768639.0
ATTT,2.75,1.476,49944.0,,,5874743.0
AUID,0.46,0.0217,70740.0,,,
AURE,1.58,13.6691,6189.0,,,
AUTL,1.92,2.6738,1087617.0,,,33904120.0
AUUD,1.05,5.0,343350.0,,,
AVAT,0.8658,-7.2026,827975.0,,,25546730.0
AVX,3.705,9.292,165148.0,,,
AXTL,2.67,11.25,1099851.0,,,
AZI,1.18,-2.4793,53725.0,,,4397327.0
AZIO,1.285,7.0833,278824.0,,,13675066.0
BAER,0.93,-6.2689,1390449.0,,,44437854.0
BANL,5.76,2.1277,16606.0,,,406582.0
BAOS,0.2787,-3.2963,726865.0,,,1034490.0
BATL,1.2499,0.7984,3455739.0,,,
BBLG,0.501,-6.808,465225.0,,,2755396.0
BCTXZ,0.1414,-4.7811,30542.0,,,
BDRX,0.8,-16.6667,1533302.0,,,594400.0
BDTX,1.95,0.5155,665316.0,,,
BEAT,0.4195,2.467,136814.0,,,
BEEM,1.35,0.0,273893.0,,,22098037.0
BENF,0.656,-19.9219,4081687.0,,,1182724.0
BGIN,1.84,2.7531,9916.0,,,43350299.0
BGL,0.2344,7.919,307638.0,,,
BGM,0.2777,7.6774,47907.0,,,
BGMS,0.8782,-11.3108,22346.0,,,5310620.0
BIOT,0.4355,11.9825,643974.0,,,28794472.0
BIOX,0.368,-4.6632,313259.0,,,44923321.0
BIRD,2.44,2.9536,164227.0,,,5612831.0
BIVI,1.74,1.1628,478726.0,,,7477922.0
BJDX,0.845,4.0,124695.0,,,4377260.0
BLSG,3.19,17.2105,147850.0,,,
BMEA,1.79,2.8736,1373554.0,,,
BMRA,2.36,-0.4219,37533.0,,,3972715.0
BNGO,1.74,15.2318,2493514.0,,,10636515.0
BQ,0.8121,-2.3918,26670.0,,,
BRAG,1.48,2.069,13170.0,,,
BRIA,1.39,-2.504,3177.0,,,20279875.0
BRLS,1.39,3.7313,3643.0,,,6468397.0
BRNX,2.52,3.2787,292871.0,,,23787.0
BTCS,1.414,13.12,1956317.0,,,41632287.0
BTCT,1.17,3.5398,2730124.0,,,9168463.0
BTMD,1.35,0.7463,140773.0,,,16686629.0
BTTC,0.3789,7.5809,316461.0,,,
BURU,0.9209,-13.9346,1660187.0,,,
BYND,11.7,6.8493,1444242.0,,,16660937.0
BYSI,0.7088,0.0,37155.0,,,31950100.0
BZAI,0.6185,5.1334,3778979.0,,,98685655.0
CABR,1.32,8.1967,34125.0,,,
CALC,1.97,-0.5051,98704.0,,,3790863.0
CAN,0.3229,6.0775,6510549.0,,,
CAST,1.38,0.0,437495.0,,,21373718.0
CBAT,1.02,0.0,339183.0,,,69352956.0
CBUS,1.63,7.947,121961.0,,,
CCG,12.1,-12.7614,38976.0,,,904385.0
CCO,2.38,-0.4184,3121109.0,,,385297495.0
CCTG,0.538,-0.683,67128.0,,,3008949.0
CDIO,2.03,1.5,27752.0,,,2837687.0
CDLX,3.89,-0.7653,21708.0,,,
CDT,0.1934,-2.3232,3991228.0,,,385437.0
CDTG,1.26,5.0,179032.0,,,2766994.0
CDXS,1.32,-1.4925,1181337.0,,,82348335.0
CELU,1.27,-1.5504,76611.0,,,
CELZ,0.8899,8.2603,179844.0,,,6557287.0
CETX,2.285,-6.7347,339438.0,,,
CGTL,3.855,4.1892,99476.0,,,
CHAI,0.2746,5.3722,1088795.0,,,8216706.0
CHGA,2.0,7.5269,116466.0,,,866629.0
CHGG,0.7852,6.9463,292376.0,,,
CHMI,2.86,1.7794,138680.0,,,36409809.0
CHOW,0.556,7.3359,238030.0,,,11033841.0
CHR,1.77,15.3094,19633.0,,,
CHSN,1.0601,-0.9252,26829.0,,,
CIGL,0.423,0.6903,27107.0,,,34910365.0
CIRC,0.466,2.4852,266865.0,,,
CISS,1.3,4.8387,471553.0,,,11792.0
CJMB,2.1336,-3.0182,73678.0,,,2340178.0
CLDI,1.23,5.1282,188984.0,,,2564822.0
CLIK,1.21,-3.9683,39177.0,,,258171.0
CLLS,1.4561,5.8982,345983.0,,,46787081.0
CMMB,2.8,5.6604,130651.0,,,
CMND,0.83,2.9904,1578755.0,,,
CMTL,1.51,1.3423,165933.0,,,
CNET,1.2468,-4.0923,872.0,,,3026160.0
CNEY,0.5482,4.003,77468.0,,,
CNTB,1.26,1.6129,1796806.0,,,
CNTX,0.3758,-0.8443,1503136.0,,,
CODX,0.945,0.4464,270320.0,,,6135776.0
COIA,7.76,11.4943,39071.0,,,
COOT,0.45,-2.1739,112730.0,,,8124837.0
COSM,0.2899,5.8802,2712744.0,,,
CPHI,0.7133,-1.8304,72826.0,,,3300648.0
CRDF,1.2801,-5.1778,1131771.0,,,
CRDL,1.86,-2.1053,583423.0,,,
CRGO,1.19,10.1852,85821.0,,,35150159.0
CRIS,1.08,-3.5714,138349.0,,,1836613.0
CRNT,2.11,2.9268,368200.0,,,79493401.0
CTOR,1.03,7.9891,188460.0,,,30982094.0
CTXR,0.58,3.5714,245010.0,,,26959796.0
CUPR,1.68,5.0,124547.0,,,920625.0
CURV,2.32,7.907,163054.0,,,25894431.0
CURX,4.6,9.7852,13800.0,,,
CVKD,1.13,4.6296,44542.0,,,3142050.0
CXAI,2.471,0.4472,67487.0,,,2220769.0
CYAB,0.3,2.1798,995819.0,,,
CYN,0.7396,2.5042,132784.0,,,14271837.0
CYPH,3.13,28.2787,26399248.0,,,74751841.0
DARE,0.7478,3.0737,153215.0,,,12946692.0
DBGI,4.439,8.2683,328255.0,,,916295.0
DCX,0.4554,42.3125,85857717.0,,,
DDC,0.231,5.0,2226697.0,,,33001820.0
DETX,2.3,3.2594,15369.0,,,76479868.0
DFLI,0.8931,5.5674,143361.0,,,
DFSC,1.26,2.439,179944.0,,,2457221.0
DGNX,1.45,4.3165,82677.0,,,26107005.0
DH,0.9054,-6.1762,592619.0,,,
DHY,1.64,1.2346,996449.0,,,
DLXY,1.22,-46.7249,22734879.0,,,
DOGZ,0.8976,0.8539,20543.0,,,2622221.0
DRCT,1.7,-1.1628,23394.0,,,750292.0
DRMA,1.16,0.8696,14266.0,,,2897833.0
DSS,0.7199,-3.1351,36317.0,,,4024238.0
DTCX,2.13,2.4038,362344.0,,,31698611.0
DTSS,1.1715,98.1563,149036332.0,,,6961683.0
DUO,0.519,-2.1309,129430.0,,,38529139.0
DVLT,0.1652,-6.5082,88449222.0,,,679521320.0
DYAI,0.4237,5.2409,173420.0,,,26975572.0
EBON,2.04,0.9901,1884.0,,,
ECX,1.05,1.9417,476135.0,,,116396759.0
EDBL,1.4,0.7194,66589.0,,,1950533.0
EHGO,0.9092,3.9159,119956.0,,,1748910.0
EHTH,0.881,2.7885,155075.0,,,
EJH,1.26,1.8346,8310.0,,,
ELAB,4.72,-1.0482,8277.0,,,
ELME,1.64,0.6135,1479796.0,,,
ELOG,0.5511,-2.9924,12267.0,,,
ENGS,2.665,-3.0909,735679.0,,,
ENLV,0.7201,-11.2193,761822.0,,,
ENSC,0.4659,4.042,391104.0,,,
EOCN,3.48,2.0528,14179.0,,,
EPOW,0.27,-0.8082,344407.0,,,24064807.0
ERNA,3.76,-3.8363,33090.0,,,966716.0
ETS,2.15,4.3689,228232.0,,,
EU,0.9681,10.5263,12481971.0,,,191024822.0
EVGN,0.5033,1.5127,30548.0,,,
EVTL,0.6139,1.757,3910667.0,,,83755198.0
EXFY,2.2811,-0.8217,368379.0,,,
EZGO,0.8417,-3.0969,50565.0,,,139232.0
FAMI,0.127,0.316,5628178.0,,,
FBDT,0.881,2.4419,3006595.0,,,26298479.0
FBGL,0.39,5.4054,10552.0,,,
FBLG,1.485,3.8462,105132.0,,,
FCHL,0.9802,-4.835,54954.0,,,
FEAM,2.0,13.6364,3762326.0,,,
FEMY,2.55,0.3937,64949.0,,,
FFAI,1.77,4.7337,1430995.0,,,3788681.0
FJET,1.86,0.0,1491827.0,,,37334597.0
FLD,0.5293,3.7843,63364.0,,,6869348.0
FLNA,0.7269,6.2409,274543.0,,,45588160.0
FLUX,0.5655,8.3333,189349.0,,,15586177.0
FMFC,0.2,-2.296,3366253.0,,,
FNGR,0.1435,1.4851,7993642.0,,,47345700.0
FRGT,0.9595,-6.8447,675042.0,,,
FRSX,1.06,1.9231,17252.0,,,
FRTT,0.9271,0.7839,28350.0,,,4285724.0
FUSE,0.559,9.3078,204830.0,,,10143696.0
GCDT,0.385,1.1827,436033.0,,,3387183.0
GCL,0.5976,3.0345,181446.0,,,
GDC,1.3569,2.7955,189049.0,,,4090239.0
GDHG,1.14,-0.8696,67188.0,,,12547704.0
GELS,0.5797,-0.0862,63220.0,,,5150874.0
GENK,1.7,6.25,85891.0,,,4783448.0
GGR,2.74,2.2388,3471.0,,,17846790.0
GIPR,0.6458,77.4176,36274322.0,,,
GLE,0.5959,-7.3539,165446.0,,,7819956.0
GLND,1.22,1.6667,186668.0,,,35252221.0
GMEX,0.4013,-5.8423,2305268.0,,,
GMHS,0.7295,1.3054,3464.0,,,25982149.0
GMM,2.01,3.0769,11522.0,,,575715.0
GNPX,3.35,-1.7595,74312.0,,,
GOAI,2.12,-19.3916,177996.0,,,15435137.0
GORO,3.51,0.8621,1785846.0,,,68193250.0
GOVX,0.3946,-2.616,372183.0,,,6818097.0
GPRO,1.34,5.5118,23513061.0,,,
GPUS,0.1808,1.459,20038737.0,,,135380815.0
GRAN,1.05,2.9311,5376.0,,,4712263.0
GRI,1.84,1.6575,174226.0,,,2186115.0
GRNQ,9.99,2.3566,1139.0,,,1069894.0
GRWG,1.505,-0.3311,156658.0,,,50451813.0
GSUN,0.2352,-21.6783,4107710.0,,,9368669.0
GTEC,1.08,-1.8182,54029.0,,,20336059.0
GUTS,0.5908,5.0311,748654.0,,,
GVH,1.34,16.5217,747773.0,,,2296389.0
GWH,0.35,3.8884,506366.0,,,
GXAI,0.64,6.6134,245883.0,,,10521790.0
GYGY,0.8958,1.7608,702157.0,,,477958.0
HAIN,0.56,-4.2899,1060884.0,,,
HCAI,0.6,-0.3488,660065.0,,,1035979.0
HCAT,1.8,4.0462,563477.0,,,
HCTI,0.72,4.3478,114361.0,,,14974172.0
HEPS,2.69,3.861,46040.0,,,29007120.0
HFFG,1.61,-1.227,23644.0,,,40542674.0
HIHO,0.91,-3.1915,108559.0,,,2923125.0
HITI,2.6528,-1.3829,524690.0,,,76766901.0
HKPD,0.1206,1.4298,1431733.0,,,15713736.0
HLP,2.02,-2.4155,49945.0,,,
HMR,1.71,4.908,108249.0,,,6097744.0
HODO,0.172,-7.1274,2437426.0,,,
HOLO,1.63,3.1646,243485.0,,,
HOWL,0.9601,4.4723,571048.0,,,47916735.0
HPAI,0.2999,1.8336,208915.0,,,7586883.0
HTOO,2.16,1.4085,4375.0,,,3117861.0
HTZ,1.86,-1.0638,13634682.0,,,169966718.0
HUDI,0.7998,0.8639,25985.0,,,4231271.0
HUIZ,1.45,0.6944,39353.0,,,4458101.0
HXHX,0.3904,3.4446,408679.0,,,2470050.0
HYFM,0.95,3.2384,25476.0,,,3546829.0
IBG,1.03,-1.9048,21619.0,,,
IBO,0.5789,16.245,254992.0,,,11488352.0
ICG,0.95,-2.072,9367.0,,,21137748.0
ICMB,0.8801,2.3372,42248.0,,,
ICON,1.04,18.3701,88708.0,,,
IGC,0.2672,-1.7647,713473.0,,,89370306.0
ILLR,0.5313,-13.6238,1273927.0,,,
IMCC,1.94,19.0184,337963.0,,,471434.0
IMMP,0.3113,-4.8012,244096.0,,,143034969.0
IMNN,1.38,-2.1277,109219.0,,,5293517.0
IMRN,1.18,-0.8403,124057.0,,,7894443.0
IMTE,0.5174,-0.8812,11679.0,,,
INBS,2.0,1.5228,25850.0,,,2937009.0
INCR,5.31,0.0,1229.0,,,7864160.0
INEO,0.5499,5.1233,6340.0,,,8809520.0
INM,1.4,9.375,317239.0,,,831863.0
INO,1.22,6.087,2721275.0,,,95787461.0
INUV,0.58,-0.8547,102564.0,,,
INV,0.687,-3.7815,5833400.0,,,68258723.0
INVZ,0.3102,0.8125,3351957.0,,,217886667.0
IONZ,24.9451,-19.5483,673440.0,,,
IPHA,1.98,-1.4925,186369.0,,,70567628.0
IPW,1.77,-2.7473,940160.0,,,65069.0
IQST,0.9744,-3.5248,836839.0,,,10870558.0
ISPC,1.39,1.4599,226457.0,,,2518590.0
ITOC,0.29,-4.1956,209151.0,,,15643205.0
ITP,0.1611,-1.3472,61497.0,,,16423714.0
IVDA,0.305,9.8703,629191.0,,,12487604.0
IVF,0.9289,-0.4874,76295.0,,,2283322.0
IZM,1.279,0.7087,51748.0,,,7771391.0
JAGU,1.58,-1.25,112833.0,,,
JAGX,2.6401,-24.4282,256131.0,,,5141735.0
JBDI,1.19,0.0,4026.0,,,
JELD,1.89,-1.0471,735760.0,,,
JFU,2.67,14.1026,2018.0,,,4622564.0
JOB,0.2251,-1.6171,173852.0,,,82912814.0
JSPR,0.6341,9.1582,303548.0,,,
JTAI,1.3303,3.124,104586.0,,,3355098.0
